Genus,lfc_(Intercept),lfc_CompartmentRoot,lfc_Human_Influence_Index,lfc_CompartmentRoot:Human_Influence_Index,se_(Intercept),se_CompartmentRoot,se_Human_Influence_Index,se_CompartmentRoot:Human_Influence_Index,W_(Intercept),W_CompartmentRoot,W_Human_Influence_Index,W_CompartmentRoot:Human_Influence_Index,p_(Intercept),p_CompartmentRoot,p_Human_Influence_Index,p_CompartmentRoot:Human_Influence_Index,q_(Intercept),q_CompartmentRoot,q_Human_Influence_Index,q_CompartmentRoot:Human_Influence_Index,diff_(Intercept),diff_CompartmentRoot,diff_Human_Influence_Index,diff_CompartmentRoot:Human_Influence_Index
Singulisphaera,0.10531113358353086,-0.4589234616043213,0.002803955999869032,0.006139366152275404,0.36463896875790025,0.5347508995540888,0.007080371380493127,0.010005926983890091,0.2888093226630737,-0.8582004480721818,0.3960182099478721,0.6135729515276305,0.772727297531476,0.3907817886601286,0.6920915945412018,0.5394975619769792,0.8803494838171968,0.581199096589064,0.9746304713642805,0.8880505507309456,FALSE,FALSE,FALSE,FALSE
Aquisphaera,0.0657113424391029,0.2913322423827222,0.00093309448933866885,-0.003235908736911076,0.31778635537850175,0.4679343306711903,0.006168399894554773,0.008702418203652102,0.2067783632838387,0.622592152973355,0.15127010331518373,-0.3718401783487121,0.8361829545597919,0.5335525691075077,0.8797626519647992,0.7100118471355108,0.919351689287513,0.7131470613234334,0.9982946680443294,0.9469644423407566,FALSE,FALSE,FALSE,FALSE
Gemmata,1.7488762693607633,-2.6582479627811946,-3.3089785016950535e-4,-0.010947366656167839,0.41628016625024145,0.6082822268148215,0.008085687001865148,0.011443764470523648,4.201200083862388,-4.370089812915809,-0.040923900479102916,-0.9566228564355367,2.655038075604557e-5,1.2419544435166798e-5,0.9673565635783412,0.33875764803647357,3.502937332007303e-4,1.5873730231197563e-4,0.9982946680443294,0.747702848611073,TRUE,TRUE,FALSE,FALSE
Limnoglobus,1.5095668436640026,-2.53517440939098,1.622553303670833e-4,-0.004632318861637473,0.39457900015027453,0.5773884493418973,0.007663216185919034,0.010839483497359038,3.825765798709732,-4.3907605222801935,0.021173268041846893,-0.427356050937861,1.3036618663702843e-4,1.1295488996003704e-5,0.9831074385134801,0.6691200131148121,0.0011215026861607156,1.5399516664551716e-4,0.9982946680443294,0.93986502783642345,TRUE,TRUE,FALSE,FALSE
Zavarzinella,0.8521429096041326,-1.2215838542759085,0.007873798779558221,-0.01971048729721175,0.4870213573365118,0.7089774262659088,0.009462864691969382,0.013413689262618635,1.7497033687895063,-1.7230222134290378,0.83207348259352,-1.4694307368623096,0.08016951210543426,0.08488450809055154,0.40536746852040323,0.14171599552326147,0.21714788378226893,0.21299241600635324,0.8009434522939368,0.5226027931387152,FALSE,FALSE,FALSE,FALSE
Fimbriiglobus,2.251066803783819,-2.358175596299382,-0.025205885892315386,0.01393745639845212,0.4437146637758627,0.6473331793416497,0.008619777687099565,0.012207735604710451,5.073230586133883,-3.642908584876944,-2.92419210881027,1.1416905517739295,3.911180791120463e-7,2.6957459548526935e-4,0.0034535153796729163,0.2535826695003731,7.998364717841347e-6,0.001837600159224586,0.03479521016028191,0.6981859815305803,TRUE,TRUE,TRUE,FALSE
Algisphaera,0.2097751503503547,-0.1449211307184504,-6.926064250054219e-4,0.002873582949595898,0.28108189573015313,0.4153593215892583,0.005454237754232097,0.007683523202381418,0.7463132757285265,-0.34890544929616485,-0.12698500802756701,0.37399287721357627,0.4554781936854931,0.727160294020134,0.8989522643458374,0.708409615461491,0.6848918427109069,0.8645597681809151,0.9982946680443294,0.9469644423407566,FALSE,FALSE,FALSE,FALSE
Tepidisphaera,0.13062503120436308,-0.1612352114175193,0.004763294750453217,-0.004829733302261012,0.4007736564865794,0.5862077566594975,0.007783810935433447,0.011011971656519348,0.3259321791494479,-0.27504789826787257,0.6119489270698698,-0.4385893328559101,0.7444756685007126,0.7832794393722521,0.5405715489817603,0.6609591276908813,0.8650299670931575,0.8775088374811758,0.8704478879273227,0.93986502783642345,FALSE,FALSE,FALSE,FALSE
Herpetosiphon,-1.073246773477186,1.029361539268125,0.012455986539733817,0.004872504663799295,0.5249992290692915,0.7630435773359138,0.010202202084196766,0.014471176873466222,-2.0442825704331358,1.3490206455338138,1.220911567614228,0.33670410543687895,0.04092564008881352,0.17733033484149838,0.22211950421580343,0.736339968218833,0.1277754717276697,0.34869282187583095,0.5439932767919976,0.9491608128838865,FALSE,FALSE,FALSE,FALSE
Sulfuricaulis,1.0781508199234722,-0.9978574334144794,-0.013897622543889319,0.011556159849482299,0.3777627060714965,0.5534434501388864,0.00733584854908285,0.010371274159928097,2.854042504977763,-1.8029979994596874,-1.8944805704347374,1.1142468776047105,0.004316675541041571,0.07138852886112239,0.058161250933691705,0.2651732897697492,0.02029333673891957,0.18837360196257455,0.22441463803660291,0.6991737885421208,TRUE,FALSE,FALSE,FALSE
Stenotrophomonas,-0.49282799398454397,1.0778514404551363,-6.873729352057254e-4,0.007338114705148681,0.7284194906014848,1.0528064540369968,0.014162097816629981,0.020133702100464838,-0.6765716737996623,1.0237887850346132,-0.048536095718712736,0.3644692202423747,0.4986777564492129,0.3059350486652194,0.9612889981045833,0.7155076541896099,0.7207038953629968,0.4868891128436101,0.9982946680443294,0.9469644423407566,FALSE,FALSE,FALSE,FALSE
Xanthomonas,-0.826932574737189,2.954717965257243,0.003368113009594677,-0.024545310761832258,0.5471401328916916,0.7945682148312028,0.010633226623843747,0.015087642653410147,-1.51137254430006,3.718646064749696,0.3167536185152006,-1.626848628754106,0.13069356046339184,2.0029346265067842e-4,0.7514305603066289,0.10376925069173583,0.31688904987236893,0.001437193442528552,0.9982946680443294,0.45152080432699127,FALSE,TRUE,FALSE,FALSE
Pseudoxanthomonas,-0.9015868980416867,1.8871193481499389,1.7604609829513588e-4,0.006222510156634076,0.53138958459959,0.772141936004717,0.010326605747342147,0.014649106077046272,-1.696658956387047,2.4440057716777224,0.017047818286317986,0.42477063951254646,0.0897611565755736,0.01452519416386622,0.986398467828426,0.6710038829541214,0.23839164311304936,0.05824318051981651,0.9982946680443294,0.93986502783642345,FALSE,FALSE,FALSE,FALSE
Tahibacter,-1.3871581077967983,3.147723088735923,2.594409119391444e-4,9.173326128733514e-4,0.49654332982619764,0.7225323197910376,0.009648235482521628,0.013678835240219987,-2.793629527321085,4.3565152762249735,0.026889985470310875,0.06706218744240089,0.005212015127532506,1.3214947418919758e-5,0.9785474810677006,0.9465321961484654,0.023285532352170374,1.637852574041873e-4,0.9982946680443294,0.992514830408717,TRUE,TRUE,FALSE,FALSE
Luteibacter,-0.3875563732970099,0.9527746571049192,0.00546997582554297,-0.00718780260740516,0.4098199796624525,0.5990860510629857,0.007959921695126082,0.011263872023687773,-0.945674668219495,1.5903803058247936,0.6871896527439807,-0.6381289304680758,0.3443145467656376,0.11174910682140463,0.4919632239602998,0.5233897554896949,0.5941968338698135,0.2553373446366173,0.8433644029553733,0.8880505507309456,FALSE,FALSE,FALSE,FALSE
Dokdonella,0.6969590453603707,-1.0535878424822582,-0.018422346899090915,0.03755611858789377,0.6080907896375308,0.8813691380405246,0.011819751744243042,0.01678450120364958,1.14614307145782,-1.1953990638072638,-1.5586069232007136,2.237547492905399,0.25173595849245456,0.2319311512802302,0.11908944342846935,0.025250578918596483,0.4633046681778445,0.40914587549824577,0.3775781578468524,0.23471560858422638,FALSE,FALSE,FALSE,FALSE
Mizugakiibacter,0.1042548955362594,1.0213527067498775,0.0014171335384087773,-0.020259444169569815,0.4482262267183762,0.6537549079379031,0.008707608252320725,0.01233337051716726,0.23259436713363832,1.5622868667578564,0.16274658865493716,-1.6426526829279935,0.8160764017420095,0.11822042451094078,0.8707179635190845,0.10045481394469911,0.9143685807892368,0.2613302621708455,0.9982946680443294,0.45152080432699127,FALSE,FALSE,FALSE,FALSE
Aquimonas,-0.44047380664862357,1.0751625466922234,-5.1471474926041916e-5,0.003942105765685992,0.5478524557125685,0.7955824909476992,0.010647093585467083,0.015107475173203835,-0.8040007890002391,1.351415546377206,-0.004834321640254831,0.2609374313371776,0.4213965193406121,0.1765623565256193,0.996142784425574,0.7941407584639578,0.6508934392426928,0.34869282187583095,0.9982946680443294,0.9578111310504343,FALSE,FALSE,FALSE,FALSE
Arenimonas,-0.6099921087220289,1.3675985461761877,0.012915464536057197,-0.021681928763867382,0.4649346227974829,0.6775377328945252,0.009032884972297517,0.012798651568901889,-1.3119954479873839,2.0184832220836424,1.4298271898365762,-1.6940791494433713,0.18952167044111048,0.043540959799357785,0.1527666232917015,0.09025024382678787,0.3875718160520709,0.1309430335142451,0.44001090793173175,0.4245793658295192,FALSE,FALSE,FALSE,FALSE
Lysobacter,0.03366768947880411,-0.3457480974621117,0.013437336388240875,-0.015116550051019164,0.5776733354801283,0.8380477212006355,0.011227619903114529,0.015937716508136343,0.05828153631294318,-0.41256373439781335,1.1968107670365091,-0.9484765300789504,0.9535243744007518,0.6799262761389337,0.23138032062719832,0.34288691542694977,0.9898310694272289,0.8301189460920116,0.5566738302148477,0.7499505262546655,FALSE,FALSE,FALSE,FALSE
Luteimonas,-2.2960102758077605,2.650169464040529,0.026643689982887644,-0.00657178951967179,0.5831655164813182,0.8458693476708742,0.011334535934071105,0.016090616997068027,-3.937150278811648,3.1330718760974703,2.350664388719957,-0.4084237118358654,8.245497321386354e-5,0.0017298707535077181,0.01873992781617289,0.682962627980753,7.664564555561405e-4,0.010136583582878535,0.10978324980908005,0.9469644423407566,TRUE,TRUE,FALSE,FALSE
Geomonas,0.6763978096799577,-1.3465927019373294,0.005930212070348663,-0.006051428374850953,0.45867695800170066,0.66863047487401,0.008911061717975186,0.012624394270515277,1.4746714389726325,-2.0139565164017807,0.6654888337700969,-0.4793440576380191,0.1403008982686352,0.04401409903636279,0.505737883181145,0.6316938841260653,0.3279032422392674,0.13139975551731664,0.8477327632011815,0.9390522841971812,FALSE,FALSE,FALSE,FALSE
Erwinia,-0.593770701033415,-0.8511294335232544,0.005864297792824821,0.036126423196930955,0.6994659662853213,1.0115467955569253,0.013598491863301369,0.01932789770641429,-0.8488914824359134,-0.8414138003913598,0.43124618904622547,1.8691336091323472,0.3959416788202426,0.40011615692194824,0.6662893724548724,0.061604228133008386,0.6301173020913589,0.58866010137078,0.9713937491147648,0.359944704377149,FALSE,FALSE,FALSE,FALSE
Pantoea,0.5953323942664515,-0.2559924644086215,-0.023845285707923842,0.03710481260539671,0.7835263100925692,1.1313482086091682,0.015234785521003848,0.02166725389037592,0.759811619084133,-0.22627203761017825,-1.5651868334509136,1.7124833997481237,0.4473671966506809,0.8209898451843438,0.11753910783348004,0.0868076212402515,0.6768582954770406,0.895426257814391,0.3775781578468524,0.4245793658295192,FALSE,FALSE,FALSE,FALSE
Klebsiella,0.2618090495748223,1.4676380755594058,-0.011628352396730223,-0.008608592582402576,0.7923949643929502,1.1439898403273245,0.01540741753158408,0.02191404307372093,0.33040221270890197,1.2829118090240008,-0.7547242990522552,-0.3928345195563616,0.7410960698281095,0.1995229751248203,0.45041442360589895,0.6944417071285787,0.8650299670931575,0.37955765965605354,0.8330633889924899,0.9469644423407566,FALSE,FALSE,FALSE,FALSE
Woeseia,1.6533550513415485,-2.632666080662388,-0.005956570945370598,0.004053098310243205,0.41146529478315375,0.6014282172889102,0.00799195224182107,0.011309687689880237,4.018212647102796,-4.377357105939918,-0.7453211387075702,0.35837402600160795,5.864126518399725e-5,1.2012706658219672e-5,0.45607760510099005,0.7200634268165655,6.482237151420237e-4,1.5849022655522083e-4,0.8330633889924899,0.9469644423407566,TRUE,TRUE,FALSE,FALSE
Thioprofundum,1.4887939344291061,-1.6644242338614035,-0.021392677903618353,0.023453155404344853,0.372757605489677,0.546315214222822,0.007238414447506226,0.01023193233824478,3.994000155874314,-3.0466371620808377,-2.9554370033327597,2.2921530976785256,6.496782048496524e-5,0.0023141686929798637,0.003122264531020264,0.021896810331436235,6.992589099565996e-4,0.012619933272383524,0.03479521016028191,0.2132332244180338,TRUE,TRUE,TRUE,FALSE
Desulfobulbus,2.0115474848468944,-2.0812743673005647,-0.03370087716992277,0.03576135467064925,0.3749544314213939,0.549444015554245,0.0072811798627824146,0.010293090994567043,5.364778533811244,-3.7879643937901557,-4.628491234255047,3.474306667406808,8.10486012543517e-8,1.5188660973005085e-4,3.683394519728022e-6,5.121753048533675e-4,2.5233878766435086e-6,0.0011294840614471055,1.506508358568761e-4,0.03982724281864839,TRUE,TRUE,TRUE,TRUE
Marimicrobium,0.24549412197134354,-0.4100307050986362,0.006263113034361667,-0.0076883235241035726,0.49813382778336324,0.7247965029153879,0.009679198740301181,0.013723123267546577,0.492827646465536,-0.5657183822622593,0.6470693703481887,-0.5602458984162497,0.6221343744396257,0.5715852370773191,0.5175870478116471,0.5753117240087722,0.818969628283219,0.7541237482729791,0.8544150682588615,0.9015421268949725,FALSE,FALSE,FALSE,FALSE
Desulfocapsa,3.437913886340192,-3.9302236152650893,-0.0511805676179319,0.05020299601265769,0.5742757661045363,0.8332092218970897,0.011161479445674395,0.0158431282209015,5.986520917747351,-4.716970854351051,-4.585464486768088,3.168755268067953,2.1437702977544714e-9,2.3938196725178527e-6,4.5297826801390905e-6,0.0015309324522425089,1.0960025647269735e-7,4.079467691915841e-5,1.5439009301474068e-4,0.04816549022824509,TRUE,TRUE,TRUE,TRUE
Desulfuromonas,3.7548800623811087,-4.590075317080181,-0.049695159685811986,0.047261488947336214,0.5104929754591461,0.7423911061851365,0.009919801672026721,0.014067263276277182,7.3554000601162155,-6.182826381995361,-5.009692867746492,3.3596789950634727,1.903561333645774e-13,6.296395165783638e-10,5.451696796181994e-7,7.803308342906182e-4,3.892782927305608e-11,6.43806405701377e-8,2.698250153556432e-5,0.03982724281864839,TRUE,TRUE,TRUE,TRUE
Sulfuritortus,0.9952490873465557,-1.6127848093390946,-0.004735834197888268,0.008209634890076846,0.525210396974286,0.7633442261703502,0.010206312981568834,0.014477056549977163,1.8949531332207854,-2.1127883778335943,-0.4640102852460549,0.5670790095856741,0.05809861097978831,0.03461888487118133,0.6426403767294229,0.5706605032025298,0.16501619368564874,0.10976065048304778,0.9554737946195617,0.8976928684993641,FALSE,FALSE,FALSE,FALSE
Achromobacter,0.24012401930991803,0.5541965488111719,-0.004909053221344412,-0.0035050691110802834,0.3721507621679866,0.5454508979470072,0.007226601114806448,0.010215038352085384,0.6452331789166873,1.01603380047055,-0.6793031943172211,-0.3431283359170873,0.5187760879592058,0.30961329107395164,0.4969457728905745,0.7315019147601132,0.7316531723286731,0.49082106995831865,0.8433644029553733,0.9491608128838865,FALSE,FALSE,FALSE,FALSE
Methylophilus,-2.0705057224676127,3.298388013342224,-3.484820653383176e-4,0.027084295688096414,0.49686348115064477,0.7229880760497612,0.009654468077932965,0.013687749988842215,-4.167152147452457,4.562161012895053,-0.03609541846586416,1.978725189324367,3.0842864990296784e-5,5.062979587066021e-6,0.9712062754837166,0.04784695531961213,3.822645994251935e-4,7.964456350423087e-5,0.9982946680443294,0.31563556009228005,TRUE,TRUE,FALSE,FALSE
Massilia,-0.613845689930335,1.54505962855764,-0.0023979433281375723,0.0065588743920156475,0.5351783327222907,0.7775363522902846,0.010400362692990614,0.014754596357946301,-1.1469927917445522,1.9871220477429317,-0.23056343311504707,0.4445309266954816,0.251384600063752,0.046908873531349364,0.817653978364153,0.6566587742724612,0.4633046681778445,0.13802682931166826,0.9982946680443294,0.93986502783642345,FALSE,FALSE,FALSE,FALSE
Nitrosospira,1.0951565297445174,-2.8462230021966652,0.011404812283911507,-0.004755065766155453,0.34895319329412494,0.5123995705126394,0.00677503090150618,0.0095693484059694,3.138405238267684,-5.554694355713667,1.6833594487924868,-0.4969059087857249,0.0016986985094308306,2.7809793303109968e-8,0.09230552838364121,0.6192554045411118,0.0092845064662313,9.478504550809982e-7,0.3094505008926988,0.9277489394040833,TRUE,TRUE,FALSE,FALSE
Aromatoleum,0.0019102488591007823,0.23980366851082824,0.005589219242358085,-0.009218494009071824,0.4103979654142912,0.5999088378378385,0.007971173761020104,0.011279966666243032,0.004654625558809513,0.3997335151372609,0.701178949289748,-0.8172447917474376,0.996286159540705,0.6893528040739405,0.48319134523301777,0.4137885498557235,0.999867890777696,0.8366329283864739,0.8433644029553733,0.8284852920578343,FALSE,FALSE,FALSE,FALSE
Sterolibacterium,1.667004171769481,-2.854658213050915,-0.003966101054065403,0.003783474565805312,0.304020967573519,0.44825577471322137,0.005900518374025294,0.008319913670697674,5.483188166508162,-6.368369074279583,-0.6721614615293123,0.45474925769128144,4.177282865967239e-8,1.9104875241986143e-10,0.5014809123611315,0.649289639255668,1.5531897201641823e-6,2.6046313246574442e-8,0.8475441865938131,0.93986502783642345,TRUE,TRUE,FALSE,FALSE
Propionivibrio,-0.06514707777248618,0.2653977624040999,0.0057530883749564695,-0.007325896516051209,0.3633365390364046,0.5328954615746457,0.007055017651619429,0.009969672417020924,-0.17930230178682566,0.49802969163948135,0.8154605217232715,-0.7348181775304798,0.8577003395779348,0.6184631146707265,0.41480875339384726,0.4624502350758881,0.9290497340368012,0.7948782653129314,0.8156575968177092,0.863662767790129,FALSE,FALSE,FALSE,FALSE
Methyloversatilis,-0.17817612057061516,-0.022621629539154628,0.013474980680059994,-0.012943050144490854,0.4156913225340202,0.6074440128837928,0.008074223522754852,0.011427367210605787,-0.4286260282857678,-0.03724068236636364,1.6688887348838781,-1.1326362324716717,0.6681954005781543,0.9702931012580773,0.0951394325502871,0.25736704648922326,0.8380857872354833,0.9774627547156493,0.3163579505127433,0.6981859815305803,FALSE,FALSE,FALSE,FALSE
Polaromonas,-0.8958938118037961,1.1951726739284645,-0.005723977919296426,0.03186146416596417,0.5398220594838673,0.7841482231967005,0.01049076365328885,0.01488389047432288,-1.6596094880975685,1.5241667819588491,-0.5456207106049864,2.140667738783106,0.09699303834850115,0.12746705371437464,0.585326685009824,0.03230084190399411,0.2542958505419037,0.27153138004780847,0.9068129324584016,0.24119485501923102,FALSE,FALSE,FALSE,FALSE
Variovorax,1.072176489705124,-0.8549546406738479,-0.027703097310406783,0.037456295108080614,0.5518645076746774,0.8012953177878018,0.010725197094104735,0.015219178202088263,1.9428255935914782,-1.0669657262370975,-2.5829919084316133,2.4611246816822963,0.052037234461421895,0.2859873130575264,0.009794762016875836,0.013850222461603778,0.1576535473683078,0.46601119936465457,0.06676762774837028,0.15310110775124178,FALSE,FALSE,FALSE,FALSE
Pelomonas,-0.1570921032734766,2.3867590424621516,-3.770331454647439e-4,-0.03291840215835153,0.40754823573088245,0.5958520966378067,0.0079156960527906,0.011200613134237338,-0.38545646748231716,4.005623301369302,-0.04763107918119527,-2.938982157836396,0.6998992533147292,6.18541575335522e-5,0.9620102625274387,0.0032929202986071962,0.8469195106678233,6.170329373468988e-4,0.9982946680443294,0.07922378836060842,FALSE,TRUE,FALSE,FALSE
Rhizobacter,-0.7609581931248615,3.236175562204328,-0.009635151301507744,-0.0059802535134815295,0.5659751268783856,0.8213885849159449,0.010999890535701636,0.015612035028172771,-1.3445081894709714,3.939883779290036,-0.8759315622492382,-0.38305406711487866,0.17878410999399252,8.152109265974065e-5,0.38106723996987757,0.7016796759609077,0.37307500503848434,7.248288456050854e-4,0.7684358766867322,0.9469644423407566,FALSE,TRUE,FALSE,FALSE
Acidovorax,0.12966487685783587,0.011059488270751719,0.0023013272638667337,-0.0031214336605982543,0.7134023395941427,1.031405941039054,0.013869776422740612,0.019715766289030018,0.18175560922831108,0.010722730818876439,0.16592389045965608,-0.15832170126377693,0.8557745228670972,0.9914446625747303,0.868216846223827,0.8742033086637803,0.9290497340368012,0.9932314632451889,0.9982946680443294,0.9679583729897077,FALSE,FALSE,FALSE,FALSE
Azohydromonas,1.4292127607709786,-0.9368553931585439,-0.007593785464407884,-0.016989098096337942,0.5244858539256015,0.7623126643056952,0.010192207985638822,0.01445688264418878,2.724978662577452,-1.2289647503256687,-0.7450579378980289,-1.1751563953634938,0.006430564273415163,0.219085022519927,0.4562366954378584,0.23993215170967896,0.027685271450808433,0.40362961356148713,0.8330633889924899,0.6862395108339768,TRUE,FALSE,FALSE,FALSE
Caldimonas,-0.497050603260714,1.0993452749450745,0.00394310920130172,-0.0024691792584469454,0.49020646047058924,0.713511489519074,0.009524871353409488,0.013502381240452948,-1.0139617555908065,1.5407534301740018,0.413980310599183,-0.18286991120124194,0.3106010016062444,0.12337680751626842,0.6788885265310423,0.8549000921368051,0.5428880754570682,0.26699002261457033,0.9735760085069545,0.9679583729897077,FALSE,FALSE,FALSE,FALSE
Piscinibacter,1.3299631940473495,-1.028469036616493,-0.008165651001561634,-0.009944080473326544,0.5646711973827875,0.8195317522071532,0.01097450682738579,0.015575732645146285,2.355287820968447,-1.2549471498165048,-0.744056305216838,-0.6384342040196306,0.01850836364507627,0.20949794615096115,0.45684241227043865,0.5231910715676615,0.0675885779538946,0.39125415514037953,0.8330633889924899,0.8880505507309456,FALSE,FALSE,FALSE,FALSE
Pseudorhodoferax,-0.4345766197308777,1.8310107496597563,-0.007319361866262331,0.0037346843864348427,0.5279074519117688,0.7671841659610917,0.010258817689424651,0.014552152023988464,-0.8232060717406016,2.3866638949279584,-0.7134703128419495,0.256641380620434,0.4103908166490497,0.017002027109248488,0.4755547771343329,0.7974556274928973,0.6431028506109628,0.06498905689423021,0.8433644029553733,0.9578111310504343,FALSE,FALSE,FALSE,FALSE
Ramlibacter,1.4713075632629429,-1.6681104914580054,-0.03388025604590799,0.05000584340458855,0.611772020771488,0.8866125055899403,0.011891413152729438,0.01688697772955651,2.4049932218337142,-1.8814425478333023,-2.8491362305523333,2.961207399300681,0.016172765749318453,0.059911743631917834,0.00438381050622552,0.0030643550997089576,0.06068496505936924,0.16445572580841877,0.0398439666010275,0.07833257723631024,FALSE,FALSE,TRUE,FALSE
Aquabacterium,0.7219774881870089,-0.2770982168817492,-0.0032314340128516104,-0.010180222477409065,0.5163680129727977,0.7507551983700206,0.010034174136332463,0.014230850094459825,1.398183989032339,-0.3690926382972274,-0.3220428476670542,-0.7153629199827142,0.16205782349362322,0.7120586759603992,0.747420234437165,0.4743848185602035,0.3641848890598456,0.8514333189527741,0.9982946680443294,0.8697248172284215,FALSE,FALSE,FALSE,FALSE
Hydrogenophaga,-0.49420402840400496,1.9591080313874794,-0.008179005228706399,0.005406676589372092,0.5436022174535853,0.7895306324968255,0.010564353097947614,0.014989139337041237,-0.9091280582316644,2.481357848259746,-0.774207862315334,0.36070627324219245,0.3632825334434373,0.013088290312023004,0.43880787956889844,0.7183190346364614,0.6147541162582051,0.05337812455631524,0.829764286027826,0.9469644423407566,FALSE,FALSE,FALSE,FALSE
